,"id_str
",full_tweet_text,screen_name,created_ts
0,ID_1247335773818499081,,,
1,ID_1318041426320654336,,,
2,ID_1199177230833766400,,,
3,ID_1258202093678026758,,,
4,ID_1293529069582192641,,,
5,ID_1246495738902671361,,,
6,ID_1165428379333664768,,,
7,ID_1138945744017252359,,,
8,ID_1226381517720440833,,,
9,ID_1280040992255729664,,,
10,ID_1106217991954415616,,,
11,ID_1326410427547471878,,,
12,ID_1268450452154142722,,,
13,ID_1290334893692661767,,,
14,ID_1230383134329516032,,,
15,ID_1211110591118684164,,,
16,ID_1322195438083076098,,,
17,ID_1110365284563599360,,,
18,ID_1085946006653550593,,,
19,ID_1280874804015497221,,,
20,ID_1186329680812695552,,,
21,ID_1160609094182608896,,,
22,ID_1268904934390378496,,,
23,ID_1160563748291170305,,,
24,ID_1294006222308466689,,,
25,ID_1212545216428691456,,,
26,ID_1114758888312598529,,,
27,ID_1300696957405585414,,,
28,ID_1346227127721586688,,,
29,ID_1363419929475747843,,,
30,ID_1286669851096805381,,,
31,ID_1105682289739137024,,,
32,ID_1368880568113524736,,,
33,ID_1267706415810064384,,,
34,ID_1031431913578192896,,,
35,ID_1310264949420118017,,,
36,ID_1171912109061529600,,,
37,ID_1240102680896421893,,,
38,ID_1047096695153184768,,,
39,ID_1242882221347713026,,,
40,ID_1259866855390535680,,,
41,ID_1151865054616117248,,,
42,ID_1268620548222795776,,,
43,ID_1371523876769894409,,,
44,ID_1117098682619453447,,,
45,ID_1043102187755393030,,,
46,ID_1256671665913835522,,,
47,ID_1256166110447140866,,,
48,ID_1102335652740382720,,,
49,ID_1199841885000478723,,,
50,ID_1166678313198161920,,,
51,ID_1133920809964232705,,,
52,ID_1321579746862444545,,,
53,ID_1339204258923597827,,,
54,ID_1314020030506565635,,,
55,ID_1035361677368324098,,,
56,ID_1281387180758167553,,,
57,ID_1263203735255363584,,,
58,ID_1271072158953791488,,,
59,ID_1261479800264437760,,,
60,ID_1284413782584725505,,,
61,ID_1289994155079299072,,,
62,ID_1258101274593001473,,,
63,ID_1173079975421009920,,,
64,ID_1276848860871131136,,,
65,ID_1268646530161885185,,,
66,ID_1258455167445458944,,,
67,ID_1263780737913765888,,,
68,ID_1153164663301054465,,,
69,ID_1311310266143924224,,,
70,ID_1361860153587470336,,,
71,ID_1286523454204903424,,,
72,ID_1168385316714975234,,,
73,ID_1159463579688558592,,,
74,ID_1289599110010425346,,,
75,ID_1166415679588683776,,,
76,ID_1300269817140666368,,,
77,ID_1267337312150659073,,,
78,ID_1139593124504883200,,,
79,ID_1257634264646115329,,,
